first,last,age,dollar,phone
Evan,Lloyd,19,$3839.78,(771) 255-1133
Etta,Griffith,50,$8158.60,(523) 731-6388
William,Conner,50,$9966.70,(759) 504-6619
Rhoda,Guerrero,20,$6480.10,(467) 431-4273
Kyle,Klein,59,$6106.13,(760) 829-2093
Benjamin,Patton,59,$3925.51,(488) 673-5745
Georgie,Hansen,51,$8809.92,(579) 706-4402
Gregory,Bowen,36,$5176.21,(533) 506-3845
Cornelia,Peterson,46,$3626.31,(861) 316-5672
Samuel,Cole,37,$7677.20,(760) 406-6331
Marvin,McKinney,24,$8259.42,(984) 809-6472
Georgia,Green,45,$9779.15,(302) 913-6498
Myra,Colon,56,$1980.64,(756) 503-7949
Anne,Robbins,36,$3188.48,(251) 981-9828
Seth,Holland,62,$5514.69,(755) 269-7714
Laura,Fitzgerald,21,$1226.60,(440) 938-4192
Sallie,Gordon,31,$1112.63,(628) 874-9254
Mike,Bowman,45,$7002.78,(652) 263-8576
Emilie,Banks,37,$5300.94,(636) 804-5336
Nicholas,Greer,40,$7928.59,(927) 476-6400
Blake,Ward,35,$8239.86,(312) 996-1753
Wesley,Wells,21,$2857.13,(856) 292-9480
Josephine,Murphy,35,$6455.74,(538) 898-8235
Clayton,Day,35,$9287.62,(306) 747-6155
Jim,Wolfe,20,$7107.26,(259) 891-6092
Rachel,Andrews,24,$4208.82,(437) 966-7826
Inez,Walton,39,$3761.12,(238) 693-4139
Barry,Scott,38,$6996.35,(320) 735-5334
Jesus,Zimmerman,25,$2070.83,(540) 578-3985
Carlos,Carson,47,$5196.50,(787) 651-1062
Cornelia,Cummings,18,$6152.93,(837) 298-2936
Keith,Sullivan,34,$1004.51,(563) 942-6717
Roy,Fitzgerald,30,$6613.71,(601) 815-2720
Olivia,Richardson,37,$8798.43,(882) 508-9567
Jeffrey,Stephens,22,$3976.32,(431) 572-8446
Stanley,Carpenter,31,$8988.76,(871) 747-9258
Lily,Carlson,22,$1815.27,(567) 617-1739
Lina,Beck,28,$4121.91,(721) 641-5328
Richard,McKinney,39,$5986.34,(410) 305-2681
Rebecca,Simpson,39,$2276.59,(742) 723-8770
Tommy,Tran,59,$68.94,(663) 948-4548
Susan,Figueroa,47,$1190.87,(732) 837-6968
Olga,Ingram,31,$8961.37,(573) 982-5159
Lottie,Hayes,22,$2149.65,(487) 259-4412
Ian,Carpenter,49,$4864.98,(520) 834-3691
Harold,Black,49,$6026.59,(479) 985-1669
Jesse,Simpson,25,$8123.07,(726) 742-3195
Aaron,Moss,25,$359.68,(534) 265-1265
Landon,Foster,42,$2020.59,(610) 995-8578
Emilie,Rodriguez,42,$8272.03,(973) 784-3995
Mollie,Huff,32,$60.20,(464) 454-6032
Jim,Howard,32,$699.86,(374) 414-7025
Fanny,Russell,45,$7422.92,(988) 896-8913
Vernon,Baker,47,$5201.58,(583) 770-6411
Randall,Chapman,58,$9553.45,(647) 394-2240
Pearl,Alvarez,41,$7505.16,(503) 673-6034
Georgie,Lambert,58,$9276.04,(312) 965-6178
Claudia,Clarke,22,$2674.09,(247) 734-2203
Andre,Kelly,63,$5830.05,(921) 443-3559
Vernon,Rowe,22,$8683.37,(701) 421-9999
Mark,Vargas,24,$8623.18,(986) 861-4913
Andrew,Carroll,45,$8250.61,(350) 617-2450
Nell,Cummings,38,$287.01,(444) 818-8763
Marguerite,Walsh,50,$6577.70,(953) 638-7783
Clarence,Murphy,63,$7280.24,(927) 680-6302
